Scene Number,Instruction Type,Instruction
1089,s,Take a left turn and the take another left turn
1090,,
1091,,
1092,,
1093,,
1094,sd,Take a left turn and follow the gray car
1095,sd,Shift the right lan and overtake the van and stop ot the red light
1096,,
1097,s,Go to the median and wait to take a right turn
1098,,
1099,,
1100,,
1101,s,Take a right turn
1102,,
1104,,
1105,s,Shift to the opposing lane to avoid the car and then move back to the left lane
1106,,
1107,,
1108,,
1109,,
1110,sd,Take the right turn and follow the black car and then shift to the right lane
1,s,turn right and then slide into the left lane to avoid hitting the trucks
100,d,Wait until the car in front of you starts moving and make sure that the signal is green
101,d,"Wait untill the signal turns green, let the car in front of you start moving, once you have started moving slide into the right lane while avoiding collision with the construction equipment on the side of the road"
102,ds,"Make sure there is no one person on the zebra crossing in front of you, and make that the signal is green, then turn right make sure there's no one on the second zebra crossing, continue turing right until you have entered the lane"
103,d,"Pass through the yellow light, wait for the black SUV to join the lane, once it joins the lane continue driving"
104,ds,"make sure that the signal light in front of you is green, when the car in front of you starts moving you can start moving, continue driving in the same lane"
105,s,slide into the left-most lane and coninue driving in that lane
106,d,"continue driving in the leftmost lane, when the car in front of you begins to slowdown, you slowdown as well"
107,,go straight
108,d,wait for the white car to pass when the road is clear turn right
109,,Enter the round about and keep going straight
110,,go straight
120,s,"continue going straight in the left most lane, wait for the gate to open, once open drive"
121,,continue driving in the rightmost lane
122,,"Stop at the intersection, turn right"
123,s,"slide into the left-most lane and cexit from the main road, then continue to drive straight"
124,,go straight
125,ds,slide into the left lane and stop at the intersection to let the pedestrians pass.
126,d,turn left once the the car in front of you has passed
126,d,"slow down, then turn right once near the broken line section in the middle of the road"
127,s,"wait for the gate to open, then proceed slowly"
128,s,slow down at the zebra Crossing
129,s,"continue driving on the road, then stop at the zebra crossing and go straight."
130,d,"wait for the pedestrians to cross, then continue to go straight."
131,d,"wait for the car to pass, then turn left"
132,s,"stop at the intersection, turn left"
133,s,"slide into the right lane to avoid colliding with the bus,"
133,s,Slide back into the right lane to avoid colliding with the car in front
134,s,"stop at the intersection, then turn right"
135,,go straight
138,s,"stop at the crosswalk, then continue"
139,,conintue on the road
149,,turn right and continue on the road
150,,go straight
151,s,turn right at the intersection and stay in the right lane
152,s,slide into the right lane in order to avoid hitting parked busses
154,d,"complete the turn then slow down for the parkinmg car, continue slowly. Slide slightly to the left to avoid hitting the approaching car"
155,s,"after turing into the left lane continue along the road, then turn left in the turning lane, but first stop at the crossing and let the pedestrian cross"
157,s,"wait at the intersection, then turn right and continue in the left lane."
158,d,"wait for the construction worker to remove the traffic cone and then waive the flag, once given the signal to move, proceed slowly."
159,d,"wait for the pedestrians to cross, then slowly merge into left lanne of the main street"
160,d,"In order to merge into  the road, beign entering the street and then check on coming traffic once it is clear, merge into the street."
161,d,"wait for the Jeep to pass, then slowly move forward"
162,d,"turn right, then turn right agai to merge into the street."
163,,go straight
164,s,turn right and continue on the road
165,s,slow down in the construction zone then continue moving straight along the road
166,s,keep going straight and begin slowing down as we approach the stop sign.
167,,continue following the road 
168,,continue going along the road.
170,s,"turn left at the intersection, then stop near the parked Semi-truck"
171,s,"continue on road, avoid hitting parked vehicles"
172,s,"slow down ans stop for the stopped bus, once its safe to go, continue going straight and then make a left turn."
173,s,keep going straight and slow down as you enter the intersection.
174,s,turn left and then continue going straight.
175,s,stop at the intersectio and start moving when it is safe.
176,ds,"stop at the intersection near the stop sight, let the black truck pass,then turn right."
177,d,"stop at the gate, move slowly when the arm rises up."
178,,"continue driving on the road, stay on the right side."
179,d,"when the pedestrian passes, continue moving ahead."
180,s,turn right and then follow the arros on the street.
181,s,"wait for the gate to open, then proceed slowly"
182,,go straight
183,,go straight
184,,continue along the road
185,d,"turn right and wait for the pedestrian to cross, once he crosses start moving forward"
187,s,stop at the intersection 
188,s,continue following the road 
190,s,stop behind the stopped car
191,s,turn right at the T junction
192,d,turn left when it is safe to do so.
193,s,stop at the intersection
194,s,"follow the road, then stop at the intersection"
195,,continue straight on the road
196,,go straight
199,,go straight
200,s,swerve around the container
202,s,"turn right, stop at the stop sign, then continue driving"
203,ds,"stop at the zebra crossing wait for the pedestrian to cross, then continue driving"
204,,go straight
206,s,"slow down at the intersection, do a slight left turn."
207,d,"slow down when approaching the turning truck, once it turns come to gradual stop"
208,d,"wait for all the cars on the left side to pass, then continue driving."
209,s,stay in the right lane of the road
210,s,"slow down near the intersection, once you cross the intersection turn left."
211,s,complete the turn then continue going straight
212,d,"slow down, and let the truck pass, then continue going straight"
213,s,slow down and stop at the intersection
214,,
218,,
219,,
220,s,slow down and stop at the intersection
221,ds,At the intersection turn left when the pedestrians have finished crossing
222,,
224,s,stop at the intersection
226,,
227,s,stop at the intersection
228,,
229,,
230,s,slow down and move into the left lane to avoid hitting the traffic cones
231,ds,stop in front of the zebra crossing and let all the pedestrians cross
232,,
233,,
234,d,turn right after the truck passes
235,s,stop behind the stopped truck
236,,
237,s,"turn left to avoid hitting the parked truck, then stop at the intersection"
238,s,pull up beside the curb
239,,
240,d,enter the left lane after all the vehicles pass
241,,
242,,
243,s,stop behind the stopped car
244,s,stop behind the stopped car
245,,
246,s,swtich to the left lane to avoid hitting parked car
247,s,switch to the right lane 
248,,
249,s,"right right, go straight and slow down near the intersection"
250,s,turn right then go straight
251,,
252,s,stop behind the stopped car
253,d,"low down behind the stopped car, and start moving when the car starts driving"
254,s,slow down at the intersection
255,s,"stop at the intersection, then turn left"
256,d,enter the right lane and stop behind the small truck
257,,
258,,
259,ds,turn right at the intersection and slow down behind the bus
260,,
261,,
262,d,once the pedestrian crosses turn right
263,,
264,,
268,s,enter the right turning lane
269,s,turn left at the intersection and continue going on the road
270,s,stop at the intersection 
271,s,"swerve around the stopped car, then come to a stop behind the orange car"
272,s,"continue going straight, then turn left at the turn"
273,s,swerve around the parked car
274,,
275,s,"go straight, stop at the intersection"
276,,
277,,
278,ds,"slow down to avoid hitting the scooter, then turn right at the intersection"
283,s,"turn right at the intersection, then stop at the next intersection"
284,s,turn left and then go straight
285,,
286,s,"turn right, then go straight"
287,,
288,s,stop at the intersection
289,,
290,,
291,,
292,s,slide into the left lane to avoid hitting the parked vehicle
293,s,lide to the right lane to avoid hitting the parked car
294,s,stop at the intersection
295,,
296,s,turn right ar the intersection when it is safe
297,d,"wait for the pedestrians to cross, then turn right"
298,s,turn right at the intersection
299,,
300,,
301,s,stop at the intersection
302,,
303,s,stop at the intersection behind the truck
304,,
305,s,slide into the right lane
306,,
315,,
316,,
317,s,swerve around the parked vehicle
318,s,swerve around the parked vehicle
321,s,"when the light turns green, go straight"
323,,
324,s,"slow down to avoid hitting the car in front, then continue driving"
328,s,turn right go straight then turn right again at the intersection
329,s,"urn left and enter the road, continue driving straight onthe road."
330,s,"turn right, go straight then pull over to the side of the road and come to a stop"
331,d,turn right at the intersection once all the vehicles have passed and it is safe to turn
332,d,"once all the pedestrains pass, drive straight ahead"
344,,
345,s,turn right and then go straight
346,s,when the signal turns green continue going straight
347,s,stop at the intersection and go when the light turns green
348,s,turn right and then slide to the left lane then turn left at the intersection
349,s,swerve around the parked car and continue going straight
350,s,turn left at the T-junction
351,s,"complete the left turn, then stop at the intesection and continue to drive."
352,s,complete the left turn and stay on the current road.
353,s,"go straight, then stop at the intersection"
354,,
355,d,when the construction worker takes the cone in front of the car and gets out the way drive forward
356,s,"go straight, stop at the intersection"
357,,
358,,
359,,
360,,
361,s,"stop at the intersection, then turn left"
362,s,slow down at the intersection then turn left
363,s,turn right at the t-junction and stay in the rightmost lane
364,,
365,s,move into the right lane slightly to avoid hitting parked truck
366,d,"when the car infront moves ahead, move into the intersection, then check oncoming traffic, once oncoming traffic is clear turn right."
367,s,turn right at the intersection
368,s,stop at the intersection
369,s,"top in the middle of the intersection, then turn right"
370,,
371,s,stop at the intersection
372,s,turn left at the intersection then stop near the dotted line
373,d,stop to avoid hitting the minivan
374,d,move once the car finishes parking
375,,
376,,
377,d,slide in the left turning lane and then turn at the intersection
378,,
379,d,turn left at the intersection
380,s,stop to avoid hitting stopped car
381,s,"complete the right turn, then take a right at the next intersection"
382,,cmplete the left turn
383,s,turn left at the intersection
384,s,"stop at the intersection, then turn right"
385,s,turn left at the intersection
386,s,stop at the intersection then turn left
388,d,stop behind the blue car then move forward slowly mainting a distance
389,,
390,,
391,s,turn right at the intersection
392,s,slide into the right turning lane
393,s,turn right at the intersection
394,,
395,,
396,,
397,ds,"move forward slowly, at the intersection turn left when oncoming car turns right"
398,d,swerve around the car in front of you
399,s,stop at the intersection
400,,
401,s,turn right at the intersection
402,,
403,,
405,s,turn right at the intersection
406,,
407,,
408,,
410,,
411,,
412,,
413,,
414,s,turn right at the intersection
415,s,tn right at the intersection
416,,
417,s,swerve around the parked car
418,s,stay on the current road
419,s,complete the left turn then stop at the intersection
420,s,"follow the road, then stop at the intersection"
421,s,turn left at the intersection
422,,
423,s,"stop at teh intersection, then turn left at the intersection"
424,,
425,s,"turn left, then turn left at the next intersection"
426,,complete the left turn
427,d,stop behind the car in front of you
428,d,continue moving forward when the bus goes out of th way
429,,
430,,
431,,
432,,
433,,
434,,
435,d,turn right once the car passes then stop of the next intersection
436,d,complete the left tunr and stop behind the parked car
437,,
438,,
439,,
440,s,stop at the stop sign
441,,slide into the right lane
442,,
443,d,"stop behind the stopped truck, then swerve around the truck, avoid hitting oncomig traffic"
444,,
445,,
446,s,"make a left turn at the intersection, then make another left turn at the next intersection"
447,d,"turn left, wait for the oncoming traffic to stop, then complete the left turn"
448,s,move into the left lane
449,s,turn left near the barricades
450,,
451,s,turn right at the intersection
452,s,stop at the intersection then continue
453,s,trn right and stop at the intersection
454,s,"turn left, go straight"
455,,
456,,
457,s,turn right and stop at the intersection
458,s,trn left at the intersection
459,,
461,,turn right at the intersection
462,,
463,,
464,,
465,,
467,,
468,,
469,,
471,,
472,,
474,s,slide into the right lane
475,ds,turn right at the intersection and slow to avoid hitting the car in front 
476,s,turn right at the intersection and go straight
477,d,stop behind the black car at the intersection
478,,
479,,
480,,
499,,
500,s,turn left at the intersection
501,,
502,,
504,,
505,,
506,,
507,s,slow down near the construction zone
508,s,cross the round about
509,,
510,,turn left
511,,
512,,turn right
513,s,turn right at the intersection
514,d,wait for the oncoming traffic to pass
515,s,go straight and stop behind the parked car
517,,
518,d,"stop at the intersection, turn right and then swerve around the car to go straight"
519,,
520,,
521,,
522,,
523,,cross the round about
524,,go straight
525,s,turn right at the intersection
526,,
527,,
528,d,"wait for the black car to pass, then pass the truck and slide into the right lane"
529,,
530,s,stop at the intersection
531,,turn right
532,,stop at the intersection
533,s,"stop at the intersection, then continue to go straight"
534,s,swerve around the parked truck
535,s,avoid the traffic cones.
536,s,"when the signal turns green, turn right on the intersection"
537,ds,"enter the bike lane, let teh black car pass, then re-enter the road"
538,s,turn right at the intersection
539,d,"let the pedestrians cross, then move ahead"
541,d,stop at the intersection to avoid hitting the pedestrians
542,s,slowly approach the intersection
543,,
544,d,slow down for the pedestrians
545,,
546,s,move ahead slowly when the signal turns green
552,s,"stop at the intersection, then turn left"
553,,
554,,
555,s,go straight and avoid hitting the construction cones or the barricades
556,d,turn left and then stop behind the car when it stops
557,s,slide into the rightmost lane and then come to a stop at the intersection
558,d,turn right at the intersection and then stop behind the bus
559,,
560,s,stop at the intersection
561,s,"when the signal turns green, turn left at the intersection"
562,d,stop behind the stopped truck
563,d,swtich to the right lane when the truck is out of the way
564,ds,move when the truck starts moving and then turn right at the intersection
565,d,turn right and then stop behind the truck
566,,trn right and go straight
568,,
570,,
571,,
572,,
573,,
574,s,"turn left, then stop at the stop sign and then turn right."
575,,turn right
576,,turn right at the intersection
577,,turn right at the intersection
578,,go straight
580,,turn left
582,s,turn right at the intersection
583,s,stop at the intersection then move ahead
584,d,turn right and then let the black car turn then continue
585,,
586,s,enter the turning lane on the right
587,,
588,,turn right at the intersection
589,,turn right 
590,s,"slide into the left lane and stop at the intersection, move forward when the light turns green"
591,s,stop at the intersection
592,,turn left at the intersection
593,,
594,s,turn right at the intersection and then stop at the intersection behind the car
595,,
596,ds,start moving when the car in front starts moving and then turn right at the intersection
597,,
598,,turn right at the intersection
599,,turn right at the intersection
600,,
625,,
626,s,stop at the intersection
627,,
629,s,stop at   the intersection then go straight
630,s,stop at   the intersection then go straight
632,s,turn right and then turn right again at the next intersection
633,,
634,s,turn left at the intersection
635,,
636,s,turn right at the intersection
2,s,turn left at the intersection
3,ds,follow the car in front stop for the barricades
4,,
5,s,stop at the intersection
6,s,swerve around the parked car then turn left
7,,turn left
8,,turn left
9,,
10,s,"complete the right turn, then switch into the left lane"
11,s,turn left then go around the parked cars
12,,
13,,
14,d,follow the orange bus
15,,
16,s,turn left and move around the parked vehicles
17,s,slide into the left turning lane and then stop at the zebra crossing
18,s,complete the left turn then enter the building horshoe
19,,turn left
20,s,turn right at the intersection when it is safe
21,s,turn right at the intersection when it is safe
22,s,slide into the left lane then turn left at the intersection
23,,
24,,"stop at the intersection, then continue going straight"
25,d,turn right after the pedestrian finishes crossing
26,s,swerve around the parked cars
27,d,"when the bike moves out of the way, turn right at the intersection"
28,s,swerve around the parked cars then stop at the intersection
29,,
30,s,stop at the intersections
31,,
32,,turn left
33,,
34,,
35,,
36,,
38,,
39,,
41,s,"turn left at the intersection, then slide into the right most lane, then stop at the intersection"
42,,
43,s,stop at the intersection
44,s,go straight
45,s,"stop at the barricade, once the arm is lifted proceed"
46,s,stop at the intersection
47,,
48,s,"turn right on the T-junction, then slide into the leftmost lane"
49,s,turn left at the intersection
50,s,turn right at the intersection
51,s,"swerve around the parked cars then stop at the intersection, then move forward"
52,s,turn left  at the intersection
53,,
54,s,turn right at the intersection
55,,
56,s,"turn left, then turn right at the intersection"
57,s,"turn right, then slide into the left lane"
58,s,slide into the left lane then turn left.
59,,
60,,
61,s,slide into the left turing lane then turn left
62,,side to the left lane
63,,stop at the intersection then proceed with caution
64,,
65,s,turn right at the intersection
66,,
67,s,slide into the left lane
68,d,"sow down to avoid hitting the truck, then turn left"
69,s,turn left at the intersection
70,s,turn left at the intersection
71,s,turn left at the intersection
72,s,stop at the intersection then turn right
73,s,stop at the intersection then turn right
74,d,let the car in the front pass then turn left
75,,
76,s,"turn right, then turn right at the next intersection"
92,,
93,s,turn right at the intersection
94,s,stop at the intersection behind the car
95,,
96,,
97,d,start moving when the car in front starts moving
98,,
99,d,slide into the left lane when there are no cars in the way
637,,
638,,turn left
639,s,stop at the intersection
640,,
641,s,slide into the right lane and stop at the intersection
642,s,start moving when light turns green
643,,
644,,
645,s,"slide into the right lane, stop at the intersection then turn right"
646,,
647,,
648,,slide into the right lane
649,s,stop at the intersection
650,s,stop at the red light
651,d,"let the oncoming traffic pass, then turn right"
652,,
653,d,"stop and let the pedestrians cross, then continue"
654,s,turn right and stop at the stop sign then continue
655,,
656,,
657,s,stop at the intersection then turn left
658,s,stop at the intersection then turn left
659,,
660,s,"continue striaght ahead, avoid hitting the parked vehicles"
661,s,turn left at the barricades
662,s,stop at the stop sign
663,s,turn left at the intersection
664,,follow the road
665,d,turn left stop at the intersection and move forward only when all cars have passed
666,,
667,s,swerve around the parked truck
668,,
669,s,turn right then go straight
670,,
671,,stop at the intersection
672,,
673,s,stop at the red light
674,d,slow down for the pedestrian
675,d,proceed slowly to avoid hitting the wheelchair
676,d,poceed slowly to avoid the wheelchair
677,d,proceed slowly to avoid hitting the wheelchair
678,d,poceed slowly to avoid the wheelchair
850,,continue going along the road
851,,
852,s,"switch to the right lane in order to avoid hitting the parked cars, then near the turning lanes switch back to the left lane"
853,d,"slow down to avoid hitting the car(white SUV), then carefully follow that car and stop behind it."
854,d,follow the white SUV in front while maintaining a safe distance
855,d,turn right and proceed slowly in order to avoid hitting the turning cars
856,,
858,,
860,,
861,d,"wait for all the vehicles to pass, then carefully turn right "
862,d,"stop at the crosswalk, let the pedestrians cross, then continue moving ahead"
863,s,turn right at the intersection and stay in the left lane
864,,
865,s,"turn right at the intersection, then swerve around the parked tempo"
866,s,turn right at the fork
868,,complete the right turn
869,,
870,,
871,,
872,s,move ahead when the signal turns green
873,,
875,,
876,s,when the signal turns green go straight
877,,
878,s,stop at the signal
880,s,"when the signal turns green, turn right at the intersection"
882,s,"turn right, when the signal turns green"
883,s,stop at the signal
884,,
885,s,go stright when the signal turns green
886,s,stop before the crosswalk when the signal turns red
887,,
888,s,"when the signal turns green, turn right"
889,s,stop at the signal
890,d,wait for the oncoming traffic to pass ten turn left
891,s,complete the left turn and go stright
892,,
893,,
894,s,turn left at the intersection
895,,
896,s,"swerve around the parked trailer, then re-join the right lane"
897,ds,"stop at the stop sign, behind the jeep, wait for the pedestrian to cross, then go straight"
898,s,stop at the signal
899,s,go straight when the signal turns green
900,d,"turn right at the intersection, avoid hitting the oncoming traffic"
901,,
902,s,stop behind the bus at the intersection
903,,
904,,
905,s,slide into the right lane
906,s,turn right at the intersection
907,s,complete the right turn and then stop behind the stopped vehicle
908,d,"when the vehicle in front starts moving, drivbe forward"
909,,
910,,
911,,
912,,
913,,
914,s,slide into the right turning lane near the intersection
915,,turn right lef at the intersection
916,s,"complete the right turn, then follow the road to exit the parkig lot"
917,ds,"slow down for the pedestrians, breifly stop at the intersection, then turn right"
919,,
920,,turn right
921,s,stop at the intersection then turn left
922,s,swerve around the parked vehicle
923,,
924,,
925,d,"stop at the crosswalk and let the pedestrians cross, then move ahead"
926,,turn right at the intersection
927,,
928,s,turn right at the intersection
929,s,"stop at the gate, once the arm is lifted proceed"
930,s,turn right at the fork
931,s,enter the horseshoe and stop at the gate
945,s,"turn right at the intersection avoid hitting the traffic cones, reverse back slighly and merge into the left lane"
947,,turn left at the intersection
949,s,stop at the intersection
952,s,"stop at the intersection, then proceed"
1,sd,"turn left into the road, Drive around road blockages"
2,s,turn left
3,d,"Wait unitl the gate opens, move forward, slow down for pedestrians, stop for incoming traffic"
4,d,be catious of pedestrians
5,s,Follow the cones to merge onto the other lane
6,s,"Slow down for road obstruction, Move to the right lane, Move back to left lane and make a left turn. "
7,,turn left
8,,turn left
9,,
10,,switch to the left lane
11,s,Drive around the road obstruction
12,,
13,,
14,d,continue straight when vehicle in front starts continuing straight
15,,
16,s,"turn left , Drive around the road obstruction"
17,d,"switch lanes to the left lane, stop for incoming pedestrians"
18,s,"make a left turn and drive aroudn road obstructions, turn left"
19,sd,"turn left, make another left turn. "
20,,Turn right into the road when traffic is clear
21,d,Turn right into the road when traffic is clear
22,,"switch to the left lane, make a left turn. "
23,s,Drive around road blockages
24,d,"stop for incoming traffic, if clear continue straight. "
25,d,"stop for incoming traffic and pedestrians, once clear move straight. "
26,s,"Drive around the vehicles blocking the road, come to a complete stop behind stop vehicle. "
27,d,once vehicle begins to move turn to the right
28,sd,Drive around the road obstruction.
29,,
30,d,turn to the right once traffic is clear
31,,
32,d,"turn left, turn left again. "
33,,
34,s,Drive around the road obstruction
35,,
36,,
38,s,Drive around the road blockages
39,,
41,s,"turn left, switch lanes all the way to right, stop behind the car"
42,,
43,,
44,,
45,d,continue forward once gate opens
46,s,
47,,
48,,"make a right turn, switch to the left lane"
49,,turn left
50,,turn left
51,s,"Drive around road blockages, come to a complete stop then continue straight. "
52,sd,"slow down for incoming vehicle, avoid road obstruction, come to a complete stop then turn left. "
53,,
54,s,"turn left, avoid road obstruction"
55,,
56,,turn right
57,,switch to the left lane
58,,"switch to the left lane, turn left"
59,,
60,,
61,,turn left
62,,switch to the left lane
63,,"slow down and stop, once road is clear continue straight. "
64,,
65,,turn right
66,d,check for incoming vehicles on left lane
67,d,"switch to left lane, stop for incoming pedestrian, once clear continue straight. "
68,,turn left
69,,turn left
70,,turn left
71,,turn left
72,d,wait for incoming traffic then turn right
73,,turn right
74,,turn left
75,,
76,,"turn right, turn right"
92,,
93,,turn right
94,,slow down
95,d,"once vehicle in front moves, continue straight"
96,,
97,d,"once vehicle in front moves, continue straight"
98,,
99,d,"once there is no vehicles in the left lane, switch to the left lane. "
100,,
101,d,"once vehicle in front moves, continue straight"
102,,turn right
103,d,slow down for incoming vehicle
104,,
105,,
106,,
107,,
108,,wait for incoming traffic then turn right
109,,
110,,
120,d,"slow down at gate, once it opens continue straight"
121,,
122,d,"stop for incoming traffic, turn right"
123,,switch to left lane
124,,
125,,"switch to left lane, stop at intersection"
126,,"turn left, turn right"
127,d,"slow down for oncoming pedestrians and traffic, continue straight once clear. "
128,,
129,,turn right
130,d,"stop for pedestrians, once clear continue straight"
131,d,"stop for on coming traffic, once clear turn left. "
132,,turn left
133,s,go around vehicle
134,d,"stop for incoming traffic, once clear turn left. "
135,,
138,,
139,,
149,,turn left
150,,
151,,turn right
152,,switch to the right lane
154,d,"turn left, slow down for incoming traffic"
155,d,"turn left, turn left and come to a stop for incoming pedestrians"
157,d,"wait until traffic is clear, turn right"
158,d,"wait for pedestrians, once clear continue straight"
159,d,"wait for pedestrians, once clear continue straight. "
160,d,"wait for incoming traffic, once clear continue straight"
162,d,"turn left, wait for incoming traffic once clear turn right. "
163,,
164,,turn right. 
165,,
166,,
167,,
168,,
170,s,turn left and avoid vehicile
171,,
172,s,"go around vehicle , turn left"
173,,
174,,turn left
175,,
176,,
177,,
178,,turn right
179,d,slowly move around walking pedestrian
180,,turn right
181,,
182,,
183,,
184,,
185,d,turn right and wait for pedestrian to pass by
187,d,slow down for pedestrian
188,,
190,,
191,,
192,d,wait till the road is clear of moving cars and turn left
193,,
194,,
195,,
196,,
199,,
200,s,go around road obstruction
202,,
203,d,turn right wait for incoming pedestrian
204,,
206,,
207,,
208,,
209,,
210,,turn left
211,,
212,,
213,,
214,,
218,d,wait for pedestrians
219,,
220,,
221,d,turn left and wait for pedestrians
222,,
224,,
225,,turn right
226,,
227,,
228,,
229,,
230,s,go around road obstruction
231,d,wait for walking pedestrians
232,,
233,,
234,,turn right
235,,
236,,
237,,
238,,stop beside the curb
239,,
240,,merge back into the road
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,turn right
251,,
252,,
253,,
254,,
255,,turn left
256,,switch lanes all the way to the right
257,,
258,,
259,,turn right
260,,
261,,
262,d,wait for incoming pedestrians. turn right
263,,
264,,
268,,
269,,
270,,
271,s,go around stationary vehicle and come to a complete stop
272,,turn left
273,,
274,,
275,,
276,,
277,,
278,,turn right
283,,turn right
284,,turn left
285,,
286,,turn right
287,,
288,,
289,,
290,,
291,,
292,,go around road obstruction
293,,
294,,
295,,
296,,turn right
297,d,wait for walking pedestrians
298,,turn right
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
315,,
316,,
317,s,go around road obstruction
318,s,go around road obstruction
321,,
323,,
324,,
328,,"turn right, turn right"
329,s,go around road obstruction
330,,stop beside the curb
331,,
332,d,wait for pedestrians 
344,,
345,,turn right
346,,
347,,
348,,turn right
349,s,go around road obstruction
350,,turn left
351,,turn left
352,,
353,,
354,,
355,ds,wait till the cone is removed by the worker
356,,
357,,
358,,
359,,
360,,
361,,turn left
362,,turn left
363,,turn right
364,,
365,,
366,,turn right
367,,turn right
368,,
369,,turn right
370,,
371,,
372,,turn left
373,d,wait for the car to finish parking
374,,
375,,
376,,
377,,
378,,
379,s,go around road obstruction
380,ds,go around road obstruction but wait for oncoming traffic
381,,turn right
382,,
383,,turn left
384,,turn right
385,,"turn left, turn left"
386,,turn left
388,,
389,,
390,,
391,,turn right
392,,
393,,turn right
394,,
395,,
396,,
397,,turn left
398,d,go around moving vehicle
399,,
400,,
401,,turn right
402,,
403,,
405,,turn right
406,,
407,,
408,s,go around road obstruction
410,,
411,,
412,,
413,,
414,,turn right
415,,
416,,
417,s,go around road obstruction
418,,
419,,
420,,turn left
421,,turn left 
422,s,go around the road obstruction
423,,turn left
424,,
425,,turn left
426,,turn left
427,,
428,,turn right
429,,
430,,
431,,
432,,
433,,
434,,
435,,turn right
436,,turn left
437,,
438,,
439,,
440,,
441,,switch to right lane
442,,
443,s,go around road obstruction
444,,
445,,
446,,"turn left, turn left"
447,,turn left
448,,
449,,turn left
450,,
451,,turn right
452,,turn right
453,,turn right
454,,turn left
455,,
456,,
457,,turn right
458,,turn left
459,,
461,,turn right
462,,
463,,
464,,
465,,
467,,
468,,
469,,
471,,
472,,
474,,change lanes to the right
475,,turn right
476,,turn right
477,,
478,,
479,,
480,,
499,,
500,,turn left
501,,
502,,turn right
504,,
505,,
506,,
507,,
508,,go straight at the roundabout
509,,
510,,turn left
511,,
512,,turn right
513,,
514,,turn right
515,,
517,,
518,d,"turn left, go around the vechile"
519,,
520,,
521,,
522,,
523,,go straight at the roundabout
524,,
525,,turn right
526,,
527,,
528,s,go around the vehicle obstructing the road
529,,
530,,
531,,turn right
532,,
533,,
534,,
535,s,go around the road obstructions
536,,turn right
537,d,let the car behind you pass in front of you by pulling over to the side and then continuing back on to the road
538,,turn right
539,,
541,,
542,,
543,,
544,,
545,,
546,,
552,s,"turn left, go around the road obstruction"
553,,
554,,
555,,
556,,turn left
557,,
558,,turn right
559,,
560,,
561,,turn left
562,,
563,,switch lanes to the right
564,,turn right
565,,
566,,turn right
568,,
570,,turn right
571,,
572,,
573,,
574,,"turn left, turn right"
575,,
576,,turn right
577,,
578,,
580,,turn left
582,,turn right
583,,
584,,turn right
585,,
586,,switch lanes to the right
587,,
588,,turn right
589,,turn right
590,,switch to left lane
591,,
592,,turn left
593,,turn right
594,,turn right
595,,
596,,turn left
597,,
598,,
599,,turn right
600,,
625,,
626,,
627,,
629,,go on the right road and go straight
630,,
632,,"turn right, turn right"
633,,
634,,turn left
635,,
636,,turn right
637,,
638,,turn left
639,,
640,,
641,,
642,,
643,,
644,,
645,,turn right
646,,
647,,
648,,
649,,turn right
650,,
651,,
652,,
653,d,stop for the pedestrians
654,,
655,,
656,,
657,,turn left
658,,turn left
659,,
660,,go left
661,,turn left
662,,
663,,turn left
664,,
665,,turn left
666,,
667,s,go around the vehicle
668,,
669,,turn right
670,,
671,,
672,,
673,,
674,,
675,,
676,,
677,,
678,,
679,,
681,,
683,,
684,,
685,,turn right
686,,
687,,
688,,
689,,
695,,
696,d,stop and wait for the pedestrians
697,,
698,,
700,,turn right
701,,
703,,
704,,
705,,
706,,
707,,
708,,
709,,
710,d,stop for the pedestrians
711,,switch lanes to the right
712,,
713,,
714,,
715,,
716,,turn right
717,,
718,,
719,,turn right
726,,
727,,
728,,
730,,
731,,
733,,
734,,
735,,
736,,turn left
737,,turn right
738,,
739,,
740,,turn right
741,,
744,,
746,,go all the way to the left lane
747,,
749,,
750,,
751,,
752,s,go around the road obstruction
757,,
758,,
759,,
760,,turn right
761,,
762,,turn right
763,,
764,,
765,,
767,,
768,,
769,s,"turn right, go around the vehicle"
770,,stop at the curb
771,,
775,,
777,,
778,,take a u-turn
780,,
781,,
782,,
783,,switch to the right lane
784,,
786,,
787,,
789,,
790,,
791,,
792,,
794,,
795,,
796,,
797,,
798,,
799,,
800,,
802,,
803,,
804,,
805,,
806,,
808,,
809,,
810,,
811,,
812,,switch lanes to the right
813,,
815,,"turn right, switch lanes to the right"
816,,turn left at the roundabout
817,,
819,,turn right
820,,
821,,follow the road
822,,
847,,
848,,switch to the right lane
849,,switch to the left lane
850,,
851,,
852,,switch to the right lane
853,,turn left
854,,
855,,turn right
856,,
858,,
860,,
861,,turn right
862,,
863,,turn right
864,,
865,s,"turn right, go around road obstruction"
866,,turn right 
868,,
869,,
870,,
871,,
872,,
873,,
875,,
876,,
877,,
878,,
880,,
882,,turn left
883,,
884,,
885,,
886,,
887,,
888,,turn right
889,,
890,,
891,,turn left
892,,
893,,
894,,turn left
895,,
896,s,go around the vehicle obstructing the road
897,,
898,,
899,,
900,,
901,,
902,,
903,,
904,,
905,,
906,,turn right
907,,
908,,
909,,
910,,
911,,
912,,
913,,
914,,switch lanes to the right
915,,turn left
916,,"turn right, turn right"
